id	CON_count	OGD_count	CON_fpkm	OGD_fpkm	log2(FC)	Pvalue	FDR	significant
TCONS_00028509	6.33333333333333	14.3333333333333	0.0933333333333333	0.22	1.23703919730085	0.373341258016775	1	no
TCONS_00028573	8.66666666666667	13.6666666666667	0.176666666666667	0.276666666666667	0.647118976783725	0.713348763017256	1	no
TCONS_00028678	19.3333333333333	30.3333333333333	0.286666666666667	0.443333333333333	0.629017680799089	0.557231918912124	1	no
TCONS_00028679	14.3633333333333	19.7466666666667	0.453333333333333	0.62	0.451695969857693	0.905069826763145	1	no
TCONS_00028680	4.97	7.58666666666667	0.213333333333333	0.323333333333333	0.599912842187128	0.837139018777543	1	no
TCONS_00028858	26.6666666666667	43.6666666666667	0.29	0.48	0.726981505593584	0.352725796968223	1	no
TCONS_00028883	3.66666666666667	8	0.0666666666666667	0.143333333333333	1.10433665981473	0.457456225284047	1	no
TCONS_00029036	2.28333333333333	8.03	0.04	0.15	1.90689059560852	0.236185151057364	1	no
TCONS_00029038	9	13.3333333333333	0.183333333333333	0.273333333333333	0.576192291093425	0.790423135421308	1	no
TCONS_00029046	9.38333333333333	13.3033333333333	0.193333333333333	0.286666666666667	0.56828375957453	0.837449013537873	1	no
TCONS_00029054	8.33333333333333	13	0.146666666666667	0.24	0.710493382805012	0.67398508773864	1	no
TCONS_00029255	2.33333333333333	6	0.116666666666667	0.303333333333333	1.37851162325372	0.447991886626333	1	no
TCONS_00029260	12.0833333333333	10.23	0.19	0.153333333333333	-0.309328058107732	0.369729006779312	1	no
TCONS_00029261	7.08666666666667	18.2533333333333	0.11	0.286666666666667	1.38187063534365	0.117369632617644	0.938162969509841	no
TCONS_00029274	12.6666666666667	25.6666666666667	0.156666666666667	0.32	1.03037364904352	0.18066571800019	1	no
TCONS_00029331	2.33333333333333	10	0.0966666666666667	0.423333333333333	2.13070369164459	0.0566240510042538	0.737434625335554	no
TCONS_00029382	10.3333333333333	6.33333333333333	0.376666666666667	0.233333333333333	-0.690895945470224	0.140335799173848	0.985812714185127	no
TCONS_00029460	10.6666666666667	15.6666666666667	0.656666666666667	0.986666666666667	0.587401546172573	0.757291847778352	1	no
TCONS_00029782	1.66666666666667	8	0.0466666666666667	0.21	2.16992500144231	0.151850903878497	0.998708877739647	no
TCONS_00029806	3.66666666666667	5	0.1	0.13	0.37851162325373	1	1	no
TCONS_00030023	10.3333333333333	21	0.186666666666667	0.376666666666667	1.01282404035758	0.337412600587133	1	no
TCONS_00030026	20.1266666666667	38.0066666666667	0.153333333333333	0.29	0.919381539791719	0.218250790850322	1	no
TCONS_00030103	15	21.6666666666667	0.406666666666667	0.603333333333333	0.569108549520317	0.752792342458212	1	no
TCONS_00030123	0	1.04	0.001	0.0566666666666667	5.82442843541655	0.501218693838174	1	no
TCONS_00030197	5.33333333333333	6.33333333333333	0.186666666666667	0.236666666666667	0.342392197447077	0.999999999999995	1	no
TCONS_00030220	183	259.666666666667	2.02666666666667	2.91	0.521910330185852	0.55147554755806	1	no
TCONS_00030255	6.46	7.95333333333333	0.163333333333333	0.196666666666667	0.267933205246638	0.999999999999998	1	no
TCONS_00030256	1.41333333333333	0.676666666666667	0.0333333333333333	0.0166666666666667	-0.999999999999996	0.71938844393431	1	no
TCONS_00030257	0.683333333333333	0	0.0133333333333333	0.001	-3.7369655941662	0.649154399792186	1	no
TCONS_00030258	0.736666666666667	0	0.0166666666666667	0.001	-4.05889368905357	0.65489824276518	1	no
TCONS_00030261	9.33333333333333	12.6666666666667	0.673333333333333	0.913333333333333	0.439820600208732	1	1	no
TCONS_00030301	40	76.6666666666667	0.29	0.55	0.923378718397088	0.0940010531289342	0.887111422741552	no
TCONS_00030339	101.33	53.79	0.856666666666667	0.453333333333333	-0.918161707943541	6.39977625910355e-05	0.0164769624147843	no
TCONS_00030341	20.8133333333333	0	0.38	0.001	-8.56985560833095	0.00147569461889436	0.114863950917196	no
TCONS_00030342	686.583333333333	626.956666666667	12.8933333333333	11.73	-0.136422280727173	0.0172474997874446	0.501634772150556	no
TCONS_00030435	0	1.51333333333333	0.001	0.02	4.32192809488736	0.379429066867586	1	no
TCONS_00030474	16.94	10.73	0.41	0.25	-0.713695814843359	0.0672667929467303	0.789694825323602	no
TCONS_00030508	8.66666666666667	14	0.176666666666667	0.273333333333333	0.62963155005488	0.683380488581725	1	no
TCONS_00030567	2.33333333333333	1.33333333333333	0.14	0.0833333333333333	-0.748461233004036	0.692758144431703	1	no
TCONS_00030570	14.6666666666667	32	0.13	0.29	1.15754127698648	0.111478854570445	0.931974315172202	no
TCONS_00030625	5.66666666666667	15.6666666666667	0.156666666666667	0.44	1.48980526768081	0.140730137961651	0.985812714185127	no
TCONS_00030626	12.6666666666667	44.6666666666667	0.14	0.5	1.83650126771712	0.00268000575241283	0.16640134864194	no
TCONS_00030744	34.1833333333333	45.2033333333333	0.503333333333333	0.65	0.368925574424533	0.999999999999999	1	no
TCONS_00030981	14.6666666666667	21	0.293333333333333	0.416666666666667	0.506352666024793	0.820927458701301	1	no
TCONS_00030985	23	25	0.423333333333333	0.463333333333333	0.130256385951342	0.618271391126164	1	no
TCONS_00031102	51.3333333333333	72	0.27	0.38	0.493040011280117	0.686243858185371	1	no
TCONS_00031188	0	7	0.001	0.09	6.49185309632967	0.0438498658273725	0.68655887223915	no
TCONS_00031189	5.33333333333333	8.53666666666667	0.07	0.116666666666667	0.73696559416621	0.814525657019987	1	no
TCONS_00031191	3	2.79666666666667	0.04	0.03	-0.415037499278844	0.811481117375155	1	no
TCONS_00031194	23.17	27.1466666666667	0.313333333333333	0.366666666666667	0.226770861847025	0.744537086879683	1	no
TCONS_00031195	16.83	9.52	0.22	0.113333333333333	-0.956931278108118	0.177594134277983	1	no
TCONS_00031200	15	10.3333333333333	0.333333333333333	0.24	-0.473931188332411	0.196942203867705	1	no
TCONS_00031202	9.33333333333333	10.3333333333333	0.22	0.24	0.125530882083859	0.791554498101062	1	no
TCONS_00031375	7.12333333333333	7.26333333333333	0.166666666666667	0.166666666666667	0	0.716896903488001	1	no
TCONS_00031376	2.54333333333333	5.73666666666667	0.106666666666667	0.223333333333333	1.06608919045777	0.583125578066364	1	no
TCONS_00031456	4	3	0.213333333333333	0.143333333333333	-0.573735245297903	0.53405753068246	1	no
TCONS_00031458	14.6666666666667	25	0.296666666666667	0.506666666666667	0.772194082477187	0.430974684303499	1	no
TCONS_00031543	0.333333333333333	2	0.0166666666666667	0.0933333333333333	2.48542682717024	0.446007268982286	1	no
TCONS_00031563	1.66666666666667	1.66666666666667	0.193333333333333	0.183333333333333	-0.0766212816029127	0.844778893612447	1	no
TCONS_00031621	39.3333333333333	72.6666666666667	0.353333333333333	0.663333333333333	0.90870416598045	0.142850064648876	0.985812714185127	no
TCONS_00031668	8.30333333333333	3.93666666666667	0.113333333333333	0.0566666666666667	-0.999999999999995	0.327432981208614	1	no
TCONS_00031741	13.6466666666667	17.23	0.14	0.17	0.280107919192735	0.955535936158674	1	no
TCONS_00031762	22.3333333333333	34	0.253333333333333	0.376666666666667	0.572251448971605	0.669104019589663	1	no
TCONS_00031808	47	67.6666666666667	0.416666666666667	0.596666666666667	0.518031492602169	0.669948121177698	1	no
TCONS_00031831	226.893333333333	285.62	4.59	5.66666666666667	0.304006186890101	0.837934738230405	1	no
TCONS_00031832	6.10666666666667	20.38	0.13	0.466666666666667	1.84388079808272	0.240543198606952	1	no
TCONS_00031913	441.333333333333	692	2.15666666666667	3.38	0.648220035010831	0.170949003294363	1	no
TCONS_00031965	17.6833333333333	36.22	0.173333333333333	0.356666666666667	1.04102726826006	0.18354112338076	1	no
TCONS_00031966	7.31666666666667	10.4466666666667	0.103333333333333	0.143333333333333	0.472068444315224	1	1	no
TCONS_00032225	99	195.573333333333	0.583333333333333	1.17333333333333	1.00822050680496	0.0183580385273298	0.501634772150556	no
TCONS_00032310	7.33333333333333	4.33333333333333	0.263333333333333	0.153333333333333	-0.780218792120091	0.257517415640509	1	no
TCONS_00032312	44	39	0.593333333333333	0.526666666666667	-0.171952682789293	0.0972721518213773	0.887111422741552	no
TCONS_00032313	181.333333333333	210	0.753333333333333	0.863333333333333	0.196629325271366	0.489118407078587	1	no
TCONS_00032329	2.33333333333333	3.66666666666667	0.113333333333333	0.173333333333333	0.612976876890754	0.999999999999999	1	no
TCONS_00032331	6.33333333333333	13.3333333333333	0.126666666666667	0.26	1.03747470541866	0.333340218893831	1	no
TCONS_00032413	0.333333333333333	3.33333333333333	0.01	0.116666666666667	3.54432051622381	0.0948873793376753	0.887111422741552	no
TCONS_00032433	3.9	2.64333333333333	0.0933333333333333	0.0566666666666667	-0.719892080807263	0.505218520149715	1	no
TCONS_00032434	7.43333333333333	8.73	0.236666666666667	0.26	0.135655099357564	0.811311612977707	1	no
TCONS_00032435	0.666666666666667	4.29333333333333	0.07	0.44	2.65207669657969	0.160033233987444	1	no
TCONS_00032482	133.666666666667	149.666666666667	0.396666666666667	0.446666666666667	0.171271427149829	0.469954447679164	1	no
TCONS_00032494	4.02	0	0.176666666666667	0.001	-7.46488604872941	0.0248954692963205	0.579151768224386	no
TCONS_00032495	4.31333333333333	5	0.196666666666667	0.22	0.16175106999661	0.933845894033092	1	no
TCONS_00032527	37	54.6666666666667	0.363333333333333	0.546666666666667	0.589367679841159	0.560080235518457	1	no
TCONS_00032597	37.6666666666667	48.78	0.913333333333333	1.16666666666667	0.353179028871807	1	1	no
TCONS_00032600	37.6666666666667	40.22	0.883333333333333	0.906666666666667	0.0376142917997788	0.436304813421798	1	no
